user	postsNum	followersNum	followingNum	hasLocation	AtUserNum	AtUserPostsNum	AtUserFollowerNum	AtUserFollowingNum	hashTagNum	hashTagPostsNum	likeNum
petesouza	962	1.9m	326	1	6	962;962;242;161;500;48;	1.9m;1.9m;17.2m;209;5,893;159;	326;326;14;369;783;200;	0		48,156
petesouza	962	1.9m	326	0	8	120;18;265;371;0;7;389;536;	287;12;92;408;26;82;183;1,816;	651;18;72;482;0;383;424;468;	0		72,595
petesouza	962	1.9m	326	0	8	276;40;276;276;40;276;276;248;	878;21;878;878;21;878;878;39;	598;197;598;598;197;598;598;67;	0		49,386
petesouza	962	1.9m	326	1	3	521;96;64;	230;185;361;	1,017;339;518;	0		125,417
petesouza	962	1.9m	326	1	13	3,726;83;3,726;1,138;3,726;23;810;83;23;444;280;215;83;	58;196;58;279;58;139;337;196;139;6,057;817;18;196;	162;576;162;210;162;56;289;576;56;615;325;209;576;	0		18,199
petesouza	962	1.9m	326	1	17	434;30;647;962;335;306;342;1,237;220;386;2;962;508;23;27;0;55;	17.9k;157k;1m;1.9m;153;240;337;1,042;300;136;98;1.9m;205;86;118;6;566;	1,077;15;2,030;326;171;447;451;5,082;527;245;252;326;229;116;197;40;769;	0		18,583
thecambridgespage	8,552	209k	86	0	1	749;	760;	999;	5	132,908297,499313,381474,9171,181,933	5,499
thecambridgespage	8,552	209k	86	0	6	28;115;8;809;93;88;	225;1,236;192;795;378;665;	244;1,038;292;566;1,018;511;	8	158,4461,181,932432,541326,398474,917297,499313,381132,909	9,463
thecambridgespage	8,552	209k	86	0	7	2;116;251;2;1;3;424;	83;174;56;83;62;0;354;	730;67;123;730;136;0;1,054;	10	11,511313,381132,909474,918297,499278,483158,44793,0716,4243,202	25,164
thecambridgespage	8,552	209k	86	0	11	547;785;21;729;21;47;314;253;1,002;310;560;	265;2,610;108;223;108;78;378;1,375;145;89;1,545;	718;919;126;644;126;83;456;1,140;429;319;657;	5	432,5489,410326,40818,0701,181,975	4,979
thecambridgespage	8,552	209k	86	0	7	31;291;16;388;859;1;388;	355;1,981;348;262;70;30;262;	101;1,238;409;1,772;240;26;1,772;	4	313,383132,910278,4841,181,984	9,982
thecambridgespage	8,552	209k	86	0	9	621;3;153;247;552;344;25;98;4,102;	587;9;85;5,260;392;118;235;90;649k;	546;86;207;632;57;217;524;19;834;	8	11,512313,382132,909158,448474,922297,501278,4841,181,993	45,716
thecambridgespage	8,552	209k	86	0	0				4	158,448474,923297,5021,182,004	8,403
thecambridgespage	8,552	209k	86	0	3	0;264;192;	5;341;563;	41;977;257;	6	278,4831,182,005474,924297,502313,384132,910	13,582
thecambridgespage	8,552	209k	86	0	3	250;87;390;	449;431;421;	410;390;698;	4	313,384132,910158,4481,182,013	9,841
thecambridgespage	8,552	209k	86	0	5	1;194;249;1;24;	164;1,194;242;164;230;	393;618;255;393;560;	8	11,512313,384132,910474,925297,502278,483158,4481,182,021	11,557
thecambridgespage	8,552	209k	86	0	1	211;	358;	456;	4	474,925297,502158,4491,182,030	8,526
thecambridgespage	8,552	209k	86	0	3	215;83;17;	493;88;180;	1,649;395;135;	4	474,926297,502158,4491,182,032	10,701
theellenshow	6,241	53.2m	318	0	14	211;39;1,905;1,276;116;63;7;169;48;387;247;235;0;32;	216;25;294;813;171;158;151;141;26;116k;1,269;563;95;30;	299;70;378;703;210;185;111;496;133;1,206;752;559;93;59;	0		260,974
theellenshow	6,241	53.2m	318	0	12	290;183;717;30;81;143;967;0;1,355;646;495;0;	99;461;2,346;50;486;429k;2,344;301;220;578;1,044;169;	144;595;1,697;170;483;296;999;455;294;998;917;348;	0		221,791
theellenshow	6,241	53.2m	318	0	4	68;461;2;16;	2,007;225;58;546;	996;487;57;269;	1	1,182,053	3,097,942
nachofigueras	3,256	126k	316	1	14	2,767;149;1,079;3,908;1,363;205;3,256;3,256;3,256;3,256;397;3,256;1,338;3,256;	120k;6,755;133k;7.9m;4.9m;215;126k;126k;126k;126k;997;126k;386;126k;	750;215;108;5;81;1,043;316;316;316;316;3,414;316;1,007;316;	1	1,182,059	19,663
nachofigueras	3,256	126k	316	0	13	833;633;7,430;551;100;3,256;2,767;667;60;3,256;3,256;2,767;633;	924k;391k;1m;8,907;131;126k;120k;533;153;126k;126k;120k;391k;	866;185;381;125;142;316;750;496;470;316;316;750;185;	2	1,182,0682,292	3,383
nachofigueras	3,256	126k	316	0	2	2,767;3,256;	120k;126k;	750;316;	0		4,004
nachofigueras	3,256	126k	316	0	11	467;3,256;16;3,256;2,767;1,412;3,256;2,767;2,767;3,256;16;	3,741;126k;22;126k;120k;103k;126k;120k;120k;126k;86;	1,009;316;75;316;750;1,371;316;750;750;316;103;	1	1,375,975	2,130
nachofigueras	3,256	126k	316	0	3	110;128;394;	217;785;813;	215;856;342;	0		5,498
nachofigueras	3,256	126k	316	0	1	2,767;	120k;	750;	0		2,961
nachofigueras	3,256	126k	316	1	5	3,557;6,442;2,767;2,767;16;	79.8k;613k;120k;120k;77;	2,819;150;750;750;121;	0		4,207
nachofigueras	3,256	126k	316	0	8	1,507;91;388;1,507;1,507;25;1,507;412;	1.1m;1,536;1,005;1.1m;1.1m;3,951;1.1m;391;	147;795;971;147;147;1,210;147;857;	0		2,784
nachofigueras	3,256	126k	316	0	2	2,767;3,256;	120k;126k;	750;316;	1	423,716,047	8,788
nachofigueras	3,256	126k	316	1	2	790;341;	189k;1,191;	179;1,078;	0		3,473
nachofigueras	3,256	126k	316	1	7	170;1,842;1,842;84;159;2,828;1,842;	3,958;281k;281k;578;222;324;281k;	650;5,309;5,309;491;213;1,242;5,309;	1	4,431,813	1,657
nachofigueras	3,256	126k	316	1	11	2,767;216;73;9;3,256;3,256;3,256;2,767;15;214;2,767;	120k;431;150;57;126k;126k;126k;120k;36;125;120k;	750;647;156;139;316;316;316;750;175;153;750;	0		1,884
voguettestyle	75	156k	25	0	7	105;32;504;504;23;155;57;	266;438;383;383;175;1,360;1,043;	669;460;385;385;234;1,039;725;	0		310
voguettestyle	75	156k	25	0	4	148;1,703;87;519;	295;624;254;533;	544;1,163;264;766;	2	1,105,876105,586,458	2,159
voguettestyle	75	156k	25	0	0				0		6,402
voguettestyle	75	156k	25	0	1	124;	103;	331;	2	326,453432,597	5,319
voguettestyle	75	156k	25	0	12	218;54;103;83;124;585;211;374;357;374;357;1;	267;640;100;129;228;219;76;474;245;474;245;164;	140;219;41;292;559;582;356;303;263;303;263;259;	1	1,182,120	3,063
voguettestyle	75	156k	25	0	25	1,393;18;670;951;38;97;712;864;966;61;5;176;382;13;115;803;531;513;30;109;217;203;894;949;263;	316;299;297;922;329;711;10.1k;486;127;155;57;939;547;108;446;797;147;678;78;252;480;216;664;885;388;	503;233;429;875;300;979;595;400;157;268;37;658;671;75;1,234;685;180;690;146;2,022;547;282;466;576;583;	1	1,182,127	3,701
voguettestyle	75	156k	25	0	13	3,509;175;16;128;201;581;36;81;54;232;669;0;17;	4.9m;85;133;885;224;248;285;570;334;857;495;23;78;	178;107;176;441;757;864;205;396;407;661;496;280;132;	0		5,518
voguettestyle	75	156k	25	0	19	54;1;7;734;578;1;22;169;904;122;169;904;477;277;424;23;747;277;208;	40;2,070;55;953;407;274;404;165;385;252;165;385;774;1,179;1,534;110;624;1,179;604;	202;840;140;1,765;284;335;199;270;661;344;270;661;1,700;1,224;766;128;1,180;1,224;326;	3	308,964474,933326,462	17,882
voguettestyle	75	156k	25	0	7	2,506;1,630;31;47;265;96;86;	6m;311;518;271;201;560;194;	0;295;307;216;295;429;656;	2	1,182,151474,933	6,744
voguettestyle	75	156k	25	0	13	118;126;445;282;400;202;528;115;50;330;291;207;	474;215;6,586;502;885;138;304;245;3,123;263;338;173;	686;421;879;841;899;193;632;451;1,870;584;359;231;	1	158,457	10,728
voguettestyle	75	156k	25	0	7	2,084;196;464;98;36;4;2,542;	1.1m;95;898;124;393;20;23.5m;	409;466;562;904;246;15;344;	2	1,182,1611,598,926	2,815
voguettestyle	75	156k	25	0	7	12;164;269;1,213;213;702;796;	274;175;230;373;451;251;221;	468;271;737;213;235;386;435;	3	1,182,165122,6221,713	2,902
alexilubomirski	1,787	188k	1,178	0	2	1,787;1,219;	188k;114k;	1,178;99;	1	1,656	7,349
alexilubomirski	1,787	188k	1,178	0	6	493;6,332;404;444;571;8,445;	7,045;10.2m;1,349;22.8k;149k;54.3k;	908;815;689;574;260;2,738;	6	7,889,5861,182,175182,45214,1593,531,13432,881	24,793
alexilubomirski	1,787	188k	1,178	0	7	2,355;6,710;493;179;3,369;1,787;1,787;	420k;97.2k;7,045;4,512;152k;188k;188k;	33;2,199;908;1,339;610;1,178;1,178;	1	213,618	10,577
alexilubomirski	1,787	188k	1,178	0	6	543;1,787;169;990;1,787;1,787;	453k;188k;156;1,001;188k;188k;	3,133;1,178;206;400;1,178;1,178;	3	1861,182,185182,453	1,501
alexilubomirski	1,787	188k	1,178	0	9	493;17,305;668;741;798;19;722;152;379;	7,045;88m;2,547;56.3k;2,544;968;11.7k;60;7,147;	908;128;298;269;211;68;217;61;4,081;	8	324,387,9165,9157,13211,560,980102,5497,38632,340324,387,921	3,584
